"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",709.879777806949,-0.383926185972971,0.100851485879754,-3.80684709425829,0.00014074970565897,0.00109454423712157
"ENSG00000000419",521.155538570467,0.204170399122614,0.111654616666187,1.82858895779491,0.0674612081258651,0.185852441934488
"ENSG00000000457",237.573162613185,0.0352856449305856,0.14124222020998,0.249823635440787,0.802723740744228,0.904033497415703
"ENSG00000000460",58.034962241096,-0.0923161089364901,0.279298150103456,-0.33052889502596,0.741000363213164,0.871678624034992
"ENSG00000000971",5826.53778297965,0.423740396005671,0.0893545831348939,4.74223460218008,2.11373641523193e-06,2.48263054120234e-05
"ENSG00000001036",1284.52719576234,-0.243715088478395,0.0897256878942031,-2.71622424077443,0.00660311774368633,0.030205441586058
"ENSG00000001084",611.014595405357,-0.0503009484287863,0.166003609913572,-0.303011172196647,0.761881347437368,0.882665468905449
"ENSG00000001167",369.980409948709,-0.502962042329682,0.119645069776325,-4.20378410301371,2.62489320295523e-05,0.000245978134366149
"ENSG00000001460",183.565561362969,-0.126699755201341,0.176516118985261,-0.717780086768848,0.472892893498228,0.682861781997442
"ENSG00000001461",2819.58577464732,-0.0436987012625618,0.103366331345978,-0.422755656445788,0.672473543859457,0.828895683433694
"ENSG00000001497",540.74470323996,-0.00669666491774209,0.106457460088978,-0.0629046091475879,0.94984246454688,0.97687879515951
"ENSG00000001561",114.306948612844,0.222691196167775,0.211370000032609,1.05356103578284,0.29208393621972,0.514315650451191
"ENSG00000001617",599.81327926346,-0.252898979420627,0.107786812713561,-2.3462886883268,0.0189614146395223,0.0706759117802848
"ENSG00000001629",1783.027395702,-0.229337256557149,0.081767650503684,-2.80474313673495,0.00503566921586768,0.024104980186484
"ENSG00000001630",54.8071703099711,0.00999580327154215,0.303395083030702,0.0329464906671893,0.973717258710006,0.987099848851704
"ENSG00000001631",786.785362849215,-0.0393477250552294,0.103348628003166,-0.38072808333773,0.703405028047178,0.848689599324766
"ENSG00000002016",184.180941448053,-0.313081037799125,0.156873786896582,-1.99575113212205,0.0459610183919483,0.140000866204382
